,"(515, 377, 1)","(377, 515, 1)","(515, 377, 3)","(377, 515, 3)","(515, 377, 5)","(377, 515, 5)","(515, 377, 10)","(377, 515, 10)","(0, 0, 0)"
"{""377"": 76, ""515"": -50}",-1.194,-3.51119103594,-4.635318334324794,-2.940597006,-2.940597006,-1.78206,-2.3642393999999998,-8.912533734307463,-0.6
"{""377"": 100, ""515"": -53}",-1.78206,-1.194,-1.194,-2.940597006,-1.78206,0.0,-1.194,-0.6,-7.875251233861302
"{""377"": 104, ""515"": -53}",0.0,-1.78206,-1.78206,-1.194,-1.194,-6.279704744477014,-9.929174312994745,-4.0760791255806,-1.78206
"{""377"": 99, ""515"": -47}",-1.194,-4.635318334324794,-2.3642393999999998,-7.875251233861302,-5.188965150981547,-1.78206,-2.3642393999999998,-2.940597006,-0.6
"{""377"": 109, ""515"": -60}",-2.3642393999999998,-1.78206,0.0,-1.194,-2.3642393999999998,0.0,-2.3642393999999998,-1.78206,-3.51119103594
"{""377"": 110, ""515"": -44}",-6.816907697032244,-3.51119103594,-20.660446765551367,-5.7370754994717315,-1.78206,-2.940597006,-5.7370754994717315,-1.194,-1.78206
"{""377"": 92, ""515"": -42}",-6.816907697032244,0.0,-7.875251233861302,-2.940597006,-1.78206,-5.7370754994717315,0.0,-4.0760791255806,-6.279704744477014
"{""377"": 65, ""515"": -37}",-8.39649872152269,-3.51119103594,-11.90216462765724,-4.0760791255806,-20.263077540960975,-11.90216462765724,-20.660446765551367,-13.797411251690681,-3.51119103594
"{""377"": 42, ""515"": -17}",-4.198249360761345,-18.33648245777318,-0.89103,-9.7281285281915,-3.139852372238507,-2.317659167162397,-7.129718569586887,-7.808988798351587,-3.674369310030961
"{""377"": 48, ""515"": -15}",-9.31652742392766,-1.470298503,-8.68340318183123,-12.565007576456702,-5.95108231382862,-12.211006607955007,-18.453117633195447,-7.129718569586887,-22.800225612475952
"{""377"": 49, ""515"": -15}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": 48, ""515"": 3}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
